김하아,91,191
박바카,51,155
박가바,97,150
박나바,53,163
홍나사,82,187
김파바,72,168
최바사,62,145
홍차다,58,194
이파라,64,171
최파나,71,168
최사자,94,155
김차타,44,150
홍마라,59,142
이나하,57,183
박마카,96,176
박타하,59,199
홍바가,52,169
홍아나,79,186
박차다,89,165
김파하,63,170
박차라,98,145
김카하,44,141
김차차,55,151
이차사,48,187
이라차,53,194
박자아,48,155
이파마,59,159
이라나,95,171
김마다,58,144
홍타라,98,174
최자자,99,175
최마차,55,176
홍차다,72,170
김마나,81,167
김파타,41,160
박파타,49,157
홍자카,89,175
김바바,58,159
박자라,60,153
박가가,67,144
박다다,50,159
박사마,55,161
홍다사,90,193
홍다타,98,166
최마카,82,147
박가아,94,148
이사차,63,199
최다파,67,172
김파아,51,188
홍사파,60,170
홍카바,60,182
김타다,86,155
김차아,49,146
이사카,84,140
홍파다,50,151
박하아,84,197
박아다,89,176
박차하,64,165
박차카,50,141
최자하,91,195
박바라,44,175
이카카,73,178
최가마,90,169
박가바,88,199
최아하,49,175
김가가,97,183
김다차,95,141
박다나,71,182
박카카,50,150
이자마,89,189
김사라,84,149
홍하가,48,141
김바아,74,198
김자카,42,178
이사다,77,172
박사바,77,175
최라아,52,165
김라가,50,172
김다바,69,179
홍라바,43,165
박다아,54,199
홍다자,54,177
최파라,94,183
홍파아,40,194
박가가,61,153
김하차,84,184
최사가,87,150
홍다타,77,189
박다라,58,175
최바라,92,148
김아자,41,185
최파아,94,173
김자가,63,174
최가아,46,147
이차아,49,154
박차다,52,178
최다라,51,199
김마사,61,179
박바아,83,151
박파차,83,155
최아차,65,198
김사아,64,160
김가마,73,179
홍라나,90,172
김하하,45,161
이마차,83,193
김하가,90,145
최아하,98,161
이아아,99,150
박사파,47,155
김라라,72,193
홍타바,88,143
박자나,54,175
김자타,50,176
이가파,91,178
박라다,49,151
박다사,61,160
박타카,47,149
박하하,85,195
홍하차,49,195
박파나,50,174
최나아,76,144
이아차,64,164
홍타하,86,145
박바파,90,186
김사하,76,164
최마아,80,156
김자하,70,147
박차차,46,178
이차마,91,188
김파파,74,159
홍가가,69,186
박하나,43,186
이하파,73,196
박다다,50,166
최타사,68,187
이바카,42,145
홍사하,77,149
박타마,57,168
홍타파,67,181
이다다,81,168
김라카,49,156
홍나사,86,187
이자라,86,173
이카차,44,198
최파다,76,160
최다마,70,151
박카바,59,171
박하아,63,184
홍사타,72,182
홍파하,81,179
김아하,89,181
김카카,85,140
이타파,94,184
홍라바,82,184
최파차,58,152
박사사,84,199
박나바,64,181
김마카,46,166
김라아,94,161
최카하,99,155
홍사차,76,148
홍라라,60,143
김카라,70,162
이자하,92,179
홍타바,76,177
김나자,60,191
홍아카,54,197
김자자,60,177
김자가,81,181
이바차,72,184
최다나,54,162
이가아,53,142
최타바,96,169
홍카가,98,177
박차자,87,169
이하사,73,192
이아사,40,182
김바라,68,168
김카아,56,190
최다가,44,160
김다파,47,167
김타카,58,140
이마카,57,194
이파타,77,180
홍자타,71,181
최라타,82,196
이나사,83,191
김아타,73,158
이마다,61,189
최나아,46,182
최카라,62,172
최나차,99,172
최마차,77,184
최다파,73,152
홍라타,65,140
김타마,71,190
이바차,91,199
홍다다,83,154
홍라마,87,179
김자마,52,191
이하라,91,155
박아사,94,141
최라타,54,157
최사나,54,171
홍나바,44,155
홍라파,48,163
김타아,57,158
최카타,95,160
박마바,44,146
박다타,89,198
홍라라,48,176
이하라,43,188
김아자,83,193
박가다,61,195
김하차,73,146
이차자,85,147
박사가,95,158
홍자자,43,179
최다다,50,188
홍가나,51,171
홍나자,75,175
이차타,51,155
홍아마,66,156
이타차,79,199
최가자,68,190
최아타,98,146
최사사,62,160
박가바,79,169
최자바,69,156
박아다,96,152
홍자하,78,184
최라마,70,161
홍사나,52,177
이차바,86,199
김아타,93,194
홍사아,95,152
김마차,79,195
홍바아,42,149
홍바나,40,153
김마가,52,171
박가자,88,158
이라가,91,164
박사차,71,164
홍아아,48,187
최자다,65,184
박가차,88,199
최타라,94,199
최바하,52,169
이타타,43,182
이다가,68,144
박하카,94,191
홍마파,40,156
홍마사,79,157
최가타,47,145
이카바,95,174
박마바,77,196
홍아하,64,166
김마사,47,168
최나다,49,149
박하다,42,158
홍라자,50,195
홍아차,71,187
박마다,71,147
김나사,81,143
홍자다,49,168
박바파,51,188
이카다,56,183
김가카,79,196
최타다,41,181
박하마,43,180
홍라하,54,174
김차타,81,143
박파나,96,179
홍사자,50,199
김바바,93,147
김하타,99,159
이사카,43,162
최가자,48,145
홍아자,52,166
박파나,97,173
박마다,55,164
최자바,91,165
최하카,90,161
김가다,89,140
박바사,99,183
박다타,97,191
김가차,71,140
이하나,44,161
김자다,80,160
최사아,81,140
최마바,41,144
